time,temp,m/z,abundance
0.0,29.981,0.0,3.776545e-09
0.0,29.981,1.0,5.885961e-09
0.0,29.981,2.0,2.307644e-09
0.0,29.981,3.0,4.056312e-09
0.0,29.981,4.0,2.706079e-07
0.0,29.981,5.0,4.207404e-10
0.0,29.981,6.0,6.356792e-12
0.0,29.981,7.0,6.541804e-13
0.0,29.981,8.0,2.149735e-12
0.0,29.981,9.0,4.230689e-13
0.0,29.981,10.0,3.889114e-13
0.0,29.981,11.0,3.510267e-13
0.0,29.981,12.0,5.075711e-13
0.0,29.981,13.0,1.024835e-12
0.0,29.981,14.0,7.154013e-11
0.0,29.981,15.0,1.930149e-12
0.0,29.981,16.0,4.76033e-11
0.0,29.981,17.0,2.55109e-10
0.0,29.981,18.0,1.086289e-09
0.0,29.981,19.0,4.895887e-12
0.0,29.981,20.0,3.208908e-12
0.0,29.981,21.0,5.224221e-13
0.0,29.981,22.0,3.478215e-13
0.0,29.981,23.0,3.835182e-13
0.0,29.981,24.0,3.624045e-13
0.0,29.981,25.0,6.705386e-13
0.0,29.981,26.0,1.801888e-12
0.0,29.981,27.0,2.001874e-11
0.0,29.981,28.0,1.523019e-09
0.0,29.981,29.0,1.465459e-11
0.0,29.981,30.0,2.503471e-12
0.0,29.981,31.0,7.163737e-12
0.0,29.981,32.0,4.230217e-10
0.0,29.981,33.0,1.24974e-12
0.0,29.981,34.0,2.38682e-12
0.0,29.981,35.0,3.064178e-12
0.0,29.981,36.0,9.83696e-12
0.0,29.981,37.0,1.325308e-12
0.0,29.981,38.0,3.54256e-12
0.0,29.981,39.0,5.802739e-13
0.0,29.981,40.0,1.885462e-11
0.0,29.981,41.0,3.293051e-13
0.0,29.981,42.0,2.390267e-13
0.0,29.981,43.0,3.372167e-13
0.0,29.981,44.0,3.917002e-12
0.0,29.981,45.0,2.592067e-13
0.0,29.981,46.0,2.678149e-13
0.0,29.981,47.0,2.261527e-13
0.0,29.981,48.0,1.082092e-12
0.0,29.981,49.0,2.879182e-13
0.0,29.981,50.0,3.11744e-13
0.0,29.981,51.0,2.551061e-13
0.0,29.981,52.0,1.9324e-13
0.0,29.981,53.0,1.951359e-13
0.0,29.981,54.0,1.827574e-13
0.0,29.981,55.0,2.132356e-13
0.0,29.981,56.0,1.68112e-13
0.0,29.981,57.0,2.171351e-13
0.0,29.981,58.0,2.170897e-13
0.0,29.981,59.0,2.021474e-13
0.0,29.981,60.0,2.082109e-13
0.0,29.981,61.0,1.803635e-13
0.0,29.981,62.0,1.871452e-13
0.0,29.981,63.0,2.360655e-13
0.0,29.981,64.0,1.937786e-12
0.0,29.981,65.0,2.844807e-13
0.0,29.981,66.0,2.429023e-13
0.0,29.981,67.0,2.482548e-13
0.0,29.981,68.0,2.086323e-13
0.0,29.981,69.0,2.147437e-13
0.0,29.981,70.0,2.855077e-13
0.0,29.981,71.0,1.83734e-13
0.0,29.981,72.0,2.288601e-13
0.0,29.981,73.0,2.164553e-13
0.0,29.981,74.0,2.284531e-13
0.0,29.981,75.0,2.31692e-13
0.0,29.981,76.0,2.478479e-13
0.0,29.981,77.0,2.315675e-13
0.0,29.981,78.0,1.980922e-13
0.0,29.981,79.0,2.084479e-13
0.0,29.981,80.0,2.245153e-13
0.0,29.981,81.0,1.706806e-13
0.0,29.981,82.0,2.033204e-13
0.0,29.981,83.0,2.113086e-13
0.0,29.981,84.0,2.423326e-13
0.0,29.981,85.0,2.551516e-13
0.0,29.981,86.0,2.364701e-13
0.0,29.981,87.0,2.46955e-13
0.0,29.981,88.0,2.111649e-13
0.0,29.981,89.0,2.061882e-13
0.0,29.981,90.0,2.475224e-13
0.0,29.981,91.0,2.562671e-13
0.0,29.981,92.0,2.320917e-13
0.0,29.981,93.0,2.338393e-13
0.0,29.981,94.0,2.354814e-13
0.0,29.981,95.0,1.77254e-13
0.0,29.981,96.0,2.035621e-13
0.0,29.981,97.0,2.986234e-13
0.0,29.981,98.0,1.979343e-13
0.0,29.981,99.0,2.254848e-13
5.192,29.999,0.0,3.77403e-09
5.192,29.999,1.0,5.885676e-09
5.192,29.999,2.0,2.318919e-09
5.192,29.999,3.0,4.033187e-09
5.192,29.999,4.0,2.700908e-07
5.192,29.999,5.0,4.163908e-10
5.192,29.999,6.0,5.307768e-12
5.192,29.999,7.0,8.427942e-13
5.192,29.999,8.0,1.922633e-12
5.192,29.999,9.0,4.683435e-13
5.192,29.999,10.0,5.002555e-13
5.192,29.999,11.0,3.53775e-13
5.192,29.999,12.0,5.543771e-13
5.192,29.999,13.0,1.160672e-12
5.192,29.999,14.0,7.120667e-11
5.192,29.999,15.0,1.900945e-12
5.192,29.999,16.0,4.612727e-11
5.192,29.999,17.0,2.539456e-10
5.192,29.999,18.0,1.083153e-09
5.192,29.999,19.0,4.62488e-12
5.192,29.999,20.0,2.678053e-12
5.192,29.999,21.0,5.091797e-13
5.192,29.999,22.0,5.064508e-13
5.192,29.999,23.0,4.511499e-13
5.192,29.999,24.0,3.973569e-13
5.192,29.999,25.0,5.19375e-13
5.192,29.999,26.0,1.872889e-12
5.192,29.999,27.0,2.13825e-11
5.192,29.999,28.0,1.52333e-09
5.192,29.999,29.0,1.289658e-11
5.192,29.999,30.0,2.906951e-12
5.192,29.999,31.0,6.295893e-12
5.192,29.999,32.0,4.305479e-10
5.192,29.999,33.0,1.182947e-12
5.192,29.999,34.0,2.587255e-12
5.192,29.999,35.0,3.140708e-12
5.192,29.999,36.0,9.959383e-12
5.192,29.999,37.0,1.293605e-12
5.192,29.999,38.0,3.022716e-12
5.192,29.999,39.0,6.545786e-13
5.192,29.999,40.0,1.876725e-11
5.192,29.999,41.0,2.649925e-13
5.192,29.999,42.0,2.553646e-13
5.192,29.999,43.0,2.803394e-13
5.192,29.999,44.0,4.065802e-12
5.192,29.999,45.0,3.377099e-13
5.192,29.999,46.0,2.0113e-13
5.192,29.999,47.0,3.024056e-13
5.192,29.999,48.0,8.688423e-13
5.192,29.999,49.0,2.472424e-13
5.192,29.999,50.0,2.640446e-13
5.192,29.999,51.0,2.207881e-13
5.192,29.999,52.0,2.210802e-13
5.192,29.999,53.0,2.234309e-13
5.192,29.999,54.0,1.742066e-13
5.192,29.999,55.0,1.67006e-13
5.192,29.999,56.0,1.669318e-13
5.192,29.999,57.0,3.293123e-13
5.192,29.999,58.0,1.808639e-13
5.192,29.999,59.0,2.421387e-13
5.192,29.999,60.0,2.957843e-13
5.192,29.999,61.0,2.887154e-13
5.192,29.999,62.0,2.305908e-13
5.192,29.999,63.0,2.21389e-13
5.192,29.999,64.0,1.632716e-12
5.192,29.999,65.0,1.982335e-13
5.192,29.999,66.0,3.353806e-13
5.192,29.999,67.0,2.214177e-13
5.192,29.999,68.0,1.762557e-13
5.192,29.999,69.0,1.752288e-13
5.192,29.999,70.0,2.528725e-13
5.192,29.999,71.0,2.134438e-13
5.192,29.999,72.0,2.311343e-13
5.192,29.999,73.0,2.171471e-13
5.192,29.999,74.0,2.593144e-13
5.192,29.999,75.0,2.112846e-13
5.192,29.999,76.0,2.097478e-13
5.192,29.999,77.0,1.84627e-13
5.192,29.999,78.0,2.011564e-13
5.192,29.999,79.0,2.11998e-13
5.192,29.999,80.0,2.536841e-13
5.192,29.999,81.0,1.840955e-13
5.192,29.999,82.0,2.16259e-13
5.192,29.999,83.0,2.318715e-13
5.192,29.999,84.0,2.293365e-13
5.192,29.999,85.0,1.903482e-13
5.192,29.999,86.0,2.428137e-13
5.192,29.999,87.0,2.118065e-13
5.192,29.999,88.0,2.392254e-13
5.192,29.999,89.0,2.227989e-13
5.192,29.999,90.0,2.056041e-13
5.192,29.999,91.0,2.241395e-13
5.192,29.999,92.0,2.487049e-13
5.192,29.999,93.0,1.772061e-13
5.192,29.999,94.0,2.175133e-13
5.192,29.999,95.0,2.345837e-13
5.192,29.999,96.0,2.309954e-13
5.192,29.999,97.0,2.333318e-13
5.192,29.999,98.0,1.912483e-13
5.192,29.999,99.0,1.812277e-13
10.402,30.18,0.0,3.774151e-09
10.402,30.18,1.0,5.910474e-09
10.402,30.18,2.0,2.316836e-09
10.402,30.18,3.0,4.059256e-09
10.402,30.18,4.0,2.704428e-07
10.402,30.18,5.0,4.220402e-10
10.402,30.18,6.0,5.438998e-12
10.402,30.18,7.0,8.758368e-13
10.402,30.18,8.0,1.933836e-12
10.402,30.18,9.0,4.643266e-13
10.402,30.18,10.0,3.693059e-13
10.402,30.18,11.0,4.551463e-13
10.402,30.18,12.0,5.379608e-13
10.402,30.18,13.0,1.605726e-12
10.402,30.18,14.0,7.297453e-11
10.402,30.18,15.0,1.919497e-12
10.402,30.18,16.0,4.778978e-11
10.402,30.18,17.0,2.553029e-10
10.402,30.18,18.0,1.081501e-09
10.402,30.18,19.0,4.85184e-12
10.402,30.18,20.0,3.156986e-12
10.402,30.18,21.0,5.043538e-13
10.402,30.18,22.0,3.619832e-13
10.402,30.18,23.0,4.33214e-13
10.402,30.18,24.0,3.838676e-13
10.402,30.18,25.0,6.180225e-13
10.402,30.18,26.0,1.838729e-12
10.402,30.18,27.0,2.010205e-11
10.402,30.18,28.0,1.514784e-09
10.402,30.18,29.0,1.332327e-11
10.402,30.18,30.0,2.998539e-12
