time,temp,m/z,abundance
0.0,32.264,0.0,4.210443e-10
0.0,32.264,1.0,6.14662e-10
0.0,32.264,2.0,2.050924e-10
0.0,32.264,3.0,3.449039e-10
0.0,32.264,4.0,7.063552e-08
0.0,32.264,5.0,1.948995e-11
0.0,32.264,6.0,7.342135e-13
0.0,32.264,7.0,4.656217e-13
0.0,32.264,8.0,5.359236e-13
0.0,32.264,9.0,2.48547e-13
0.0,32.264,10.0,2.511514e-13
0.0,32.264,11.0,2.137048e-13
0.0,32.264,12.0,4.348873e-13
0.0,32.264,13.0,6.155278e-13
0.0,32.264,14.0,5.048785e-11
0.0,32.264,15.0,1.153355e-12
0.0,32.264,16.0,5.220614e-11
0.0,32.264,17.0,7.013449e-11
0.0,32.264,18.0,2.902696e-10
0.0,32.264,19.0,1.876528e-12
0.0,32.264,20.0,7.639375e-13
0.0,32.264,21.0,1.845815e-13
0.0,32.264,22.0,1.656271e-13
0.0,32.264,23.0,1.660772e-13
0.0,32.264,24.0,2.598291e-13
0.0,32.264,25.0,2.794561e-13
0.0,32.264,26.0,5.295722e-13
0.0,32.264,27.0,4.815741e-12
0.0,32.264,28.0,7.285435e-10
0.0,32.264,29.0,5.244213e-12
0.0,32.264,30.0,4.028579e-12
0.0,32.264,31.0,2.315914e-12
0.0,32.264,32.0,3.407937e-10
0.0,32.264,33.0,5.84041e-13
0.0,32.264,34.0,1.663501e-12
0.0,32.264,35.0,1.789344e-12
0.0,32.264,36.0,1.533157e-12
0.0,32.264,37.0,6.425777e-13
0.0,32.264,38.0,5.682137e-13
0.0,32.264,39.0,2.448174e-13
0.0,32.264,40.0,8.242195e-12
0.0,32.264,41.0,1.676715e-13
0.0,32.264,42.0,1.72124e-13
0.0,32.264,43.0,1.696775e-13
0.0,32.264,44.0,1.313763e-12
0.0,32.264,45.0,1.434148e-13
0.0,32.264,46.0,1.518052e-13
0.0,32.264,47.0,1.510823e-13
0.0,32.264,48.0,4.153369e-13
0.0,32.264,49.0,1.556018e-13
0.0,32.264,50.0,1.410473e-13
0.0,32.264,51.0,1.661179e-13
0.0,32.264,52.0,1.510943e-13
0.0,32.264,53.0,1.600639e-13
0.0,32.264,54.0,1.477931e-13
0.0,32.264,55.0,1.662639e-13
0.0,32.264,56.0,1.431922e-13
0.0,32.264,57.0,1.579717e-13
0.0,32.264,58.0,1.94152e-13
0.0,32.264,59.0,1.497656e-13
0.0,32.264,60.0,1.622686e-13
0.0,32.264,61.0,1.271224e-13
0.0,32.264,62.0,1.790685e-13
0.0,32.264,63.0,1.596665e-13
0.0,32.264,64.0,4.546483e-13
0.0,32.264,65.0,1.522576e-13
0.0,32.264,66.0,1.543283e-13
0.0,32.264,67.0,1.439463e-13
0.0,32.264,68.0,1.61019e-13
0.0,32.264,69.0,1.834085e-13
0.0,32.264,70.0,1.79813e-13
0.0,32.264,71.0,1.609568e-13
0.0,32.264,72.0,1.673986e-13
0.0,32.264,73.0,1.278502e-13
0.0,32.264,74.0,1.768853e-13
0.0,32.264,75.0,1.492055e-13
0.0,32.264,76.0,1.77218e-13
0.0,32.264,77.0,1.365948e-13
