time,temp,m/z,abundance
0.0,29.957,0.0,5.07814e-09
0.0,29.957,1.0,8.031861e-09
0.0,29.957,2.0,3.5363e-09
0.0,29.957,3.0,6.211403e-09
0.0,29.957,4.0,3.040832e-07
0.0,29.957,5.0,8.052777e-10
0.0,29.957,6.0,1.382812e-11
0.0,29.957,7.0,1.278435e-12
0.0,29.957,8.0,2.391201e-12
0.0,29.957,9.0,4.660311e-13
0.0,29.957,10.0,5.1096e-13
0.0,29.957,11.0,7.175827e-13
0.0,29.957,12.0,6.808291e-12
0.0,29.957,13.0,2.385001e-12
0.0,29.957,14.0,7.425603e-11
0.0,29.957,15.0,3.669241e-12
0.0,29.957,16.0,5.594986e-11
0.0,29.957,17.0,3.084554e-10
0.0,29.957,18.0,1.28129e-09
0.0,29.957,19.0,4.558285e-12
0.0,29.957,20.0,3.551776e-12
0.0,29.957,21.0,4.847555e-13
0.0,29.957,22.0,4.93478e-13
0.0,29.957,23.0,3.373316e-13
0.0,29.957,24.0,5.295491e-13
0.0,29.957,25.0,1.63578e-12
0.0,29.957,26.0,8.113383e-12
0.0,29.957,27.0,4.262869e-11
0.0,29.957,28.0,1.689606e-09
0.0,29.957,29.0,1.782216e-11
0.0,29.957,30.0,2.73347e-12
0.0,29.957,31.0,7.806571e-12
0.0,29.957,32.0,3.515612e-10
0.0,29.957,33.0,9.832438e-13
0.0,29.957,34.0,2.245177e-12
0.0,29.957,35.0,2.023604e-12
0.0,29.957,36.0,8.4799e-12
0.0,29.957,37.0,7.682554e-12
0.0,29.957,38.0,2.536632e-11
0.0,29.957,39.0,2.105934e-11
0.0,29.957,40.0,2.15788e-11
0.0,29.957,41.0,8.373282e-13
0.0,29.957,42.0,7.47982e-13
0.0,29.957,43.0,3.142145e-12
0.0,29.957,44.0,9.141193e-11
0.0,29.957,45.0,6.668085e-12
0.0,29.957,46.0,8.617486e-13
0.0,29.957,47.0,2.241227e-12
0.0,29.957,48.0,1.371286e-12
0.0,29.957,49.0,1.01832e-11
0.0,29.957,50.0,1.080945e-10
0.0,29.957,51.0,6.732916e-11
0.0,29.957,52.0,1.83907e-11
0.0,29.957,53.0,4.030015e-12
0.0,29.957,54.0,5.001049e-13
0.0,29.957,55.0,1.308914e-12
0.0,29.957,56.0,2.306196e-13
0.0,29.957,57.0,2.339614e-13
0.0,29.957,58.0,2.032318e-13
0.0,29.957,59.0,2.273999e-13
0.0,29.957,60.0,3.805354e-13
0.0,29.957,61.0,1.814707e-12
0.0,29.957,62.0,2.501485e-12
0.0,29.957,63.0,3.885404e-12
0.0,29.957,64.0,1.602674e-12
0.0,29.957,65.0,4.103769e-12
0.0,29.957,66.0,3.281442e-12
0.0,29.957,67.0,5.338142e-13
0.0,29.957,68.0,3.22801e-13
0.0,29.957,69.0,2.678603e-13
0.0,29.957,70.0,2.604299e-13
0.0,29.957,71.0,2.925455e-13
0.0,29.957,72.0,6.363786e-13
0.0,29.957,73.0,6.049688e-12
0.0,29.957,74.0,2.749036e-11
0.0,29.957,75.0,1.854726e-11
0.0,29.957,76.0,8.517737e-11
0.0,29.957,77.0,8.490308e-11
0.0,29.957,78.0,1.648692e-11
0.0,29.957,79.0,1.243276e-12
0.0,29.957,80.0,2.563292e-13
0.0,29.957,81.0,2.077082e-13
0.0,29.957,82.0,2.304832e-13
0.0,29.957,83.0,2.64035e-13
0.0,29.957,84.0,2.393642e-13
0.0,29.957,85.0,3.314356e-13
