time,temp,m/z,abundance
0.0,41.168,2.0,1.14837e-10
0.0,41.168,4.0,2.83543e-07
0.0,41.168,6.0,4.22968e-13
0.0,41.168,12.0,4.34798e-13
0.0,41.168,13.0,2.3505e-13
0.0,41.168,14.0,7.22834e-12
0.0,41.168,15.0,3.44789e-13
0.0,41.168,16.0,5.64694e-12
0.0,41.168,17.0,6.1315e-12
0.0,41.168,18.0,2.2973e-11
0.0,41.168,19.0,8.47211e-13
0.0,41.168,20.0,4.38802e-13
0.0,41.168,22.0,1.80726e-13
0.0,41.168,23.0,1.51424e-13
0.0,41.168,24.0,2.47338e-13
0.0,41.168,25.0,1.90918e-13
0.0,41.168,26.0,1.96122e-13
0.0,41.168,27.0,3.64995e-13
0.0,41.168,28.0,8.91818e-11
0.0,41.168,29.0,8.93301e-13
0.0,41.168,30.0,7.58577e-13
0.0,41.168,31.0,2.41538e-13
0.0,41.168,32.0,3.95952e-11
0.0,41.168,33.0,2.66377e-13
0.0,41.168,34.0,4.09669e-13
0.0,41.168,35.0,1.69058e-13
0.0,41.168,36.0,2.07244e-13
0.0,41.168,37.0,1.82728e-13
0.0,41.168,38.0,1.7654e-13
0.0,41.168,39.0,2.02748e-13
0.0,41.168,40.0,9.51322e-13
0.0,41.168,42.0,1.6739e-13
0.0,41.168,43.0,1.94268e-13
0.0,41.168,44.0,8.30831e-13
0.0,41.168,45.0,1.75175e-13
0.0,41.168,46.0,2.14845e-13
0.0,41.168,48.0,2.55626e-13
0.0,41.168,49.0,1.9501e-13
0.0,41.168,50.0,1.5106e-13
0.0,41.168,51.0,1.82546e-13
0.0,41.168,52.0,2.06934e-13
0.0,41.168,53.0,2.17069e-13
0.0,41.168,56.0,1.71097e-13
0.0,41.168,57.0,1.98346e-13
0.0,41.168,58.0,1.97976e-13
0.0,41.168,59.0,2.07059e-13
0.0,41.168,63.0,1.63868e-13
0.0,41.168,64.0,1.91464e-13
0.0,41.168,65.0,2.1021e-13
0.0,41.168,66.0,1.9201e-13
0.0,41.168,67.0,1.97106e-13
0.0,41.168,70.0,1.79452e-13
0.0,41.168,72.0,2.22259e-13
0.0,41.168,74.0,2.00015e-13
0.0,41.168,82.0,2.3114e-13
0.0,41.168,83.0,2.59889e-13
0.0,41.168,86.0,2.14844e-13
0.0,41.168,91.0,1.81272e-13
0.0,41.168,94.0,2.12212e-13
5.559,41.166,2.0,1.12695e-10
5.559,41.166,4.0,2.83802e-07
5.559,41.166,6.0,3.96032e-13
5.559,41.166,12.0,4.01128e-13
5.559,41.166,13.0,3.0512e-13
5.559,41.166,14.0,6.87966e-12
5.559,41.166,15.0,4.49709e-13
5.559,41.166,16.0,5.71256e-12
5.559,41.166,17.0,6.63534e-12
5.559,41.166,18.0,2.38535e-11
5.559,41.166,19.0,7.89122e-13
5.559,41.166,20.0,4.12079e-13
5.559,41.166,22.0,2.09664e-13
5.559,41.166,23.0,2.22768e-13
5.559,41.166,24.0,1.97106e-13
5.559,41.166,25.0,1.94454e-13
5.559,41.166,26.0,2.37645e-13
5.559,41.166,27.0,3.89093e-13
5.559,41.166,28.0,8.95154e-11
5.559,41.166,29.0,9.50024e-13
5.559,41.166,30.0,5.79098e-13
5.559,41.166,31.0,3.0994e-13
5.559,41.166,32.0,4.11486e-11
5.559,41.166,33.0,2.55811e-13
5.559,41.166,34.0,2.86468e-13
5.559,41.166,35.0,1.67622e-13
5.559,41.166,36.0,2.31686e-13
5.559,41.166,37.0,1.57565e-13
5.559,41.166,38.0,2.59148e-13
5.559,41.166,39.0,2.21889e-13
5.559,41.166,40.0,9.3538e-13
5.559,41.166,42.0,2.15401e-13
5.559,41.166,43.0,2.17996e-13
5.559,41.166,44.0,8.16372e-13
5.559,41.166,45.0,2.1781e-13
5.559,41.166,46.0,2.45616e-13
5.559,41.166,48.0,2.14032e-13
5.559,41.166,49.0,2.00928e-13
5.559,41.166,50.0,2.21518e-13
5.559,41.166,51.0,2.20776e-13
5.559,41.166,52.0,2.23001e-13
5.559,41.166,53.0,1.926e-13
5.559,41.166,56.0,1.9501e-13
5.559,41.166,57.0,1.81478e-13
5.559,41.166,58.0,1.7258e-13
5.559,41.166,59.0,2.00942e-13
5.559,41.166,63.0,2.01869e-13
5.559,41.166,64.0,2.13918e-13
5.559,41.166,65.0,1.8655e-13
5.559,41.166,66.0,2.002e-13
5.559,41.166,67.0,1.99088e-13
5.559,41.166,70.0,2.3505e-13
5.559,41.166,72.0,2.27079e-13
5.559,41.166,74.0,1.89078e-13
5.559,41.166,82.0,2.09482e-13
5.559,41.166,83.0,2.10392e-13
5.559,41.166,86.0,1.96378e-13
5.559,41.166,91.0,1.74248e-13
5.559,41.166,94.0,1.87224e-13
11.057,41.168,2.0,1.15263e-10
11.057,41.168,4.0,2.87158e-07
11.057,41.168,6.0,4.98462e-13
11.057,41.168,12.0,3.93484e-13
11.057,41.168,13.0,2.42788e-13
11.057,41.168,14.0,6.98699e-12
11.057,41.168,15.0,3.43492e-13
11.057,41.168,16.0,6.2481e-12
11.057,41.168,17.0,6.39621e-12
11.057,41.168,18.0,2.33141e-11
11.057,41.168,19.0,8.26197e-13
11.057,41.168,20.0,3.54614e-13
11.057,41.168,22.0,1.79068e-13
11.057,41.168,23.0,2.08357e-13
11.057,41.168,24.0,2.3746e-13
11.057,41.168,25.0,1.97652e-13
11.057,41.168,26.0,2.15852e-13
11.057,41.168,27.0,3.12312e-13
11.057,41.168,28.0,8.9293e-11
11.057,41.168,29.0,8.67349e-13
11.057,41.168,30.0,8.6809e-13
11.057,41.168,31.0,2.60075e-13
11.057,41.168,32.0,3.89519e-11
11.057,41.168,33.0,2.02054e-13
11.057,41.168,34.0,2.6845e-13
11.057,41.168,35.0,1.9742e-13
11.057,41.168,36.0,1.33838e-13
11.057,41.168,37.0,1.74174e-13
11.057,41.168,38.0,1.71626e-13
11.057,41.168,39.0,1.4833e-13
11.057,41.168,40.0,9.09984e-13
11.057,41.168,42.0,1.9019e-13
11.057,41.168,43.0,2.17996e-13
11.057,41.168,44.0,9.64668e-13
11.057,41.168,45.0,1.89819e-13
11.057,41.168,46.0,2.11322e-13
11.057,41.168,48.0,1.70726e-13
11.057,41.168,49.0,1.67946e-13
11.057,41.168,50.0,1.60342e-13
11.057,41.168,51.0,1.42506e-13
11.057,41.168,52.0,1.93466e-13
11.057,41.168,53.0,2.13122e-13
11.057,41.168,56.0,2.00386e-13
11.057,41.168,57.0,2.10581e-13
11.057,41.168,58.0,1.59975e-13
11.057,41.168,59.0,1.91673e-13
11.057,41.168,63.0,2.58804e-13
11.057,41.168,64.0,2.38966e-13
11.057,41.168,65.0,1.45887e-13
11.057,41.168,66.0,2.33382e-13
11.057,41.168,67.0,1.6498e-13
11.057,41.168,70.0,1.68896e-13
11.057,41.168,72.0,2.02795e-13
11.057,41.168,74.0,2.07986e-13
11.057,41.168,82.0,2.06752e-13
11.057,41.168,83.0,2.19856e-13
11.057,41.168,86.0,2.07844e-13
11.057,41.168,91.0,2.1021e-13
11.057,41.168,94.0,1.93341e-13
16.556,41.173,2.0,1.1543e-10
16.556,41.173,4.0,2.89567e-07
16.556,41.173,6.0,5.12876e-13
16.556,41.173,12.0,4.30248e-13
16.556,41.173,13.0,3.24584e-13
16.556,41.173,14.0,7.24651e-12
16.556,41.173,15.0,3.80751e-13
16.556,41.173,16.0,6.00601e-12
16.556,41.173,17.0,6.27961e-12
16.556,41.173,18.0,2.22574e-11
16.556,41.173,19.0,9.10355e-13
16.556,41.173,20.0,6.10981e-13
16.556,41.173,22.0,2.51888e-13
16.556,41.173,23.0,2.10392e-13
16.556,41.173,24.0,2.33506e-13
16.556,41.173,25.0,2.3023e-13
16.556,41.173,26.0,1.91302e-13
16.556,41.173,27.0,3.38116e-13
16.556,41.173,28.0,9.11096e-11
16.556,41.173,29.0,7.0793e-13
16.556,41.173,30.0,7.16086e-13
16.556,41.173,31.0,2.25316e-13
16.556,41.173,32.0,3.98232e-11
16.556,41.173,33.0,2.5785e-13
16.556,41.173,34.0,3.2123e-13
16.556,41.173,35.0,2.47702e-13
16.556,41.173,36.0,1.2494e-13
16.556,41.173,37.0,2.93256e-13
16.556,41.173,38.0,1.79624e-13
16.556,41.173,39.0,2.08542e-13
16.556,41.173,40.0,8.08401e-13
16.556,41.173,42.0,1.38684e-13
16.556,41.173,43.0,2.2504e-13
16.556,41.173,44.0,8.64383e-13
16.556,41.173,45.0,2.14474e-13
16.556,41.173,46.0,2.73236e-13
16.556,41.173,48.0,2.04464e-13
16.556,41.173,49.0,1.34134e-13
16.556,41.173,50.0,1.638e-13
16.556,41.173,51.0,1.90918e-13
16.556,41.173,52.0,1.5256e-13
16.556,41.173,53.0,1.93898e-13
16.556,41.173,56.0,1.99088e-13
16.556,41.173,57.0,2.25596e-13
16.556,41.173,58.0,2.22259e-13
16.556,41.173,59.0,2.11508e-13
16.556,41.173,63.0,1.89634e-13
16.556,41.173,64.0,1.7258e-13
16.556,41.173,65.0,1.89078e-13
16.556,41.173,66.0,1.99654e-13
16.556,41.173,67.0,2.04093e-13
16.556,41.173,70.0,1.88522e-13
16.556,41.173,72.0,1.93527e-13
16.556,41.173,74.0,2.04834e-13
16.556,41.173,82.0,2.0743e-13
16.556,41.173,83.0,1.78326e-13
16.556,41.173,86.0,2.10396e-13
16.556,41.173,91.0,1.81849e-13
16.556,41.173,94.0,2.13176e-13
22.055,41.183,2.0,1.18482e-10
22.055,41.183,4.0,2.91106e-07
22.055,41.183,6.0,3.10128e-13
22.055,41.183,12.0,4.10956e-13
22.055,41.183,13.0,3.31604e-13
22.055,41.183,14.0,7.71679e-12
22.055,41.183,15.0,3.36633e-13
22.055,41.183,16.0,5.88904e-12
22.055,41.183,17.0,6.45683e-12
22.055,41.183,18.0,2.31899e-11
22.055,41.183,19.0,8.45104e-13
22.055,41.183,20.0,4.88266e-13
22.055,41.183,22.0,2.50065e-13
22.055,41.183,23.0,2.45154e-13
22.055,41.183,24.0,2.82282e-13
22.055,41.183,25.0,2.19128e-13
22.055,41.183,26.0,2.3783e-13
22.055,41.183,27.0,3.89278e-13
22.055,41.183,28.0,8.84774e-11
22.055,41.183,29.0,9.14248e-13
22.055,41.183,30.0,6.80495e-13
22.055,41.183,31.0,2.16884e-13
22.055,41.183,32.0,4.12005e-11
22.055,41.183,33.0,2.56738e-13
22.055,41.183,34.0,2.98817e-13
22.055,41.183,35.0,2.04093e-13
22.055,41.183,36.0,2.42606e-13
22.055,41.183,37.0,2.34234e-13
22.055,41.183,38.0,2.03166e-13
22.055,41.183,39.0,2.16698e-13
22.055,41.183,40.0,8.36948e-13
22.055,41.183,42.0,1.91859e-13
22.055,41.183,43.0,2.20776e-13
22.055,41.183,44.0,8.95154e-13
22.055,41.183,45.0,1.9779e-13
22.055,41.183,46.0,2.05205e-13
22.055,41.183,48.0,2.1658e-13
22.055,41.183,49.0,2.34123e-13
22.055,41.183,50.0,2.10028e-13
22.055,41.183,51.0,2.54436e-13
22.055,41.183,52.0,2.366e-13
22.055,41.183,53.0,2.04834e-13
22.055,41.183,56.0,1.63982e-13
22.055,41.183,57.0,2.0293e-13
22.055,41.183,58.0,1.79439e-13
22.055,41.183,59.0,1.55974e-13
22.055,41.183,63.0,2.40968e-13
22.055,41.183,64.0,2.06752e-13
22.055,41.183,65.0,1.41067e-13
22.055,41.183,66.0,1.59796e-13
22.055,41.183,67.0,1.76287e-13
22.055,41.183,70.0,2.05391e-13
22.055,41.183,72.0,1.86368e-13
22.055,41.183,74.0,1.7381e-13
22.055,41.183,82.0,1.96307e-13
22.055,41.183,83.0,1.97834e-13
22.055,41.183,86.0,2.28228e-13
22.055,41.183,91.0,2.68417e-13
22.055,41.183,94.0,2.28376e-13
27.563,41.196,2.0,1.19898e-10
27.563,41.196,4.0,2.92456e-07
27.563,41.196,6.0,4.54454e-13
27.563,41.196,12.0,3.9221e-13
27.563,41.196,13.0,3.08827e-13
27.563,41.196,14.0,7.2732e-12
27.563,41.196,15.0,3.822e-13
27.563,41.196,16.0,5.76688e-12
27.563,41.196,17.0,6.63864e-12
27.563,41.196,18.0,2.30922e-11
27.563,41.196,19.0,7.30549e-13
27.563,41.196,20.0,3.84273e-13
27.563,41.196,22.0,2.59333e-13
27.563,41.196,23.0,2.4784e-13
27.563,41.196,24.0,1.96493e-13
27.563,41.196,25.0,2.17996e-13
27.563,41.196,26.0,2.36162e-13
27.563,41.196,27.0,3.17911e-13
27.563,41.196,28.0,9.00537e-11
27.563,41.196,29.0,8.62317e-13
27.563,41.196,30.0,7.28001e-13
27.563,41.196,31.0,1.93156e-13
27.563,41.196,32.0,3.94394e-11
27.563,41.196,33.0,2.50436e-13
27.563,41.196,34.0,2.96964e-13
27.563,41.196,35.0,1.99654e-13
27.563,41.196,36.0,2.20591e-13
27.563,41.196,37.0,2.50992e-13
27.563,41.196,38.0,2.04278e-13
27.563,41.196,39.0,1.94083e-13
27.563,41.196,40.0,1.04456e-12
27.563,41.196,42.0,2.26954e-13
27.563,41.196,43.0,1.4378e-13
27.563,41.196,44.0,7.19979e-13
27.563,41.196,45.0,1.67946e-13
27.563,41.196,46.0,1.75546e-13
